,ID,Program_Code,From_Grade,To_Grade,Group_State,Is_Non_Annual_,Days,Travel_Type,Departure_Date,Return_Date,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Product_Type,SPR_New_Existing,FPP,Total_Pax,SPR_Group_Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP_to_School_enrollment,FPP_to_PAX,Num_of_Non_FPP_PAX,SchoolSizeIndicator,Retained_in_2012_,NPS_2011,NPS_2010,NPS_2009,NPS_2008,>=_3_FPP_Date,>=_10_FPP_Date,>=_20_FPP_Date,>=_35_FPP_Date
10,11,CD,8.0,8.0,FL,0.0,4.0,A,2011-02-07,2011-02-10,2010-09-30,,999.0,47.0,1.0,0.566,2010-09-02,2010-09-02,1.0,4.0,2010-03-31,,Other,10.0,CHD,1.0,K,12.0,746.0,O,0.096,1.0,East Coast,EXISTING,83.0,87.0,999.0,1.0,2010-09-09,2010-09-09,151.0,151.0,Middle,Middle,Middle->Middle,February,K,High,K->High,C,1.0,0.111260054,0.954022989,4.0,M-L,1.0,,10.0,10.0,,2010-09-14,2010-09-21,2010-09-26,2010-09-28
11,12,HD,8.0,8.0,FL,0.0,4.0,A,2011-02-07,2011-02-10,2010-10-15,,1388.0,32.0,0.0,0.8,2010-02-11,2010-08-20,0.0,5.0,2010-02-11,,Other,10.0,CHD,1.0,PK,8.0,650.0,L,0.3,1.0,East Coast,EXISTING,40.0,45.0,1388.0,1.0,2010-09-14,2010-09-14,146.0,146.0,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1.0,0.061538462,0.888888889,5.0,M-L,1.0,8.0,8.0,,8.0,2010-05-14,2010-05-24,2010-06-02,2010-09-30
12,13,HD,8.0,8.0,CA,0.0,6.0,A,2011-02-12,2011-02-17,2010-10-15,,2278.0,10.0,6.0,0.455,2010-02-24,2010-08-27,6.0,1.0,2010-02-24,A,Northern California,5.0,PUBLIC,1.0,6,8.0,670.0,Q,0.136,0.0,East Coast,EXISTING,22.0,23.0,2278.0,1.0,2010-09-15,2010-09-15,150.0,150.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.032835821,0.956521739,1.0,M-L,1.0,10.0,10.0,,,2010-05-25,2010-06-01,2010-12-03,
13,14,HD,8.0,8.0,CA,0.0,6.0,A,2011-02-12,2011-02-17,2010-10-09,,2339.0,20.0,1.0,0.625,2010-03-01,2010-08-23,2.0,4.0,2010-02-27,B,Northern California,5.0,PUBLIC,1.0,6,8.0,750.0,L,0.125,0.0,East Coast,EXISTING,32.0,36.0,2339.0,1.0,2010-09-01,2010-09-01,164.0,164.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.042666667,0.888888889,4.0,M-L,1.0,10.0,10.0,9.0,10.0,2010-04-02,2010-05-28,2010-09-02,
14,15,HD,5.0,5.0,CA,0.0,6.0,A,2011-02-13,2011-02-18,2010-10-15,,2235.0,21.0,1.0,0.636,2010-02-01,2010-08-31,2.0,4.0,2010-01-26,,Northern California,7.0,PUBLIC,1.0,,,,P5,0.091,0.0,East Coast,EXISTING,33.0,37.0,2235.0,1.0,2010-09-09,2010-09-09,157.0,157.0,Elementary,Elementary,Elementary->Elementary,February,Undefined,Undefined,Undefined->Undefined,H,1.0,,0.891891892,4.0,,1.0,,6.0,,10.0,2010-09-21,2010-10-14,2010-10-14,
15,16,SG,8.0,8.0,VA,0.0,5.0,A,2011-02-15,2011-02-19,2010-10-15,,1830.0,22.0,1.0,0.733,2010-04-15,2010-08-31,4.0,3.0,2010-04-14,B,Other,6.0,PUBLIC,1.0,6,8.0,753.0,I,0.167,0.0,Science,EXISTING,30.0,33.0,1830.0,2.0,2010-04-28,2010-09-10,293.0,158.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1.0,0.039840637,0.909090909,3.0,M-L,1.0,10.0,10.0,,,2010-05-05,2010-05-17,2010-05-26,
16,17,SG,8.0,8.0,VA,0.0,5.0,A,2011-02-15,2011-02-19,2010-09-24,,1805.0,16.0,4.0,0.552,2010-04-15,2010-08-31,5.0,2.0,2010-04-14,B,Other,6.0,PUBLIC,1.0,6,8.0,626.0,N,0.345,0.0,Science,EXISTING,29.0,31.0,1805.0,2.0,2010-04-24,2010-08-30,297.0,169.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1.0,0.046325879,0.935483871,2.0,M-L,1.0,10.0,10.0,9.0,10.0,2010-05-05,2010-05-28,2010-06-01,
17,18,SG,8.0,8.0,VA,0.0,5.0,A,2011-02-15,2011-02-19,2010-10-15,,1880.0,5.0,1.0,0.556,2010-04-15,2010-09-02,1.0,1.0,2010-04-14,B,Other,7.0,PUBLIC,1.0,6,8.0,467.0,H,0.444,0.0,Science,EXISTING,9.0,10.0,1880.0,2.0,2010-05-04,2010-09-14,287.0,154.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1.0,0.019271949,0.9,1.0,S-M,1.0,,10.0,,,2010-05-25,,,
18,19,HD,8.0,8.0,IA,0.0,3.0,A,2011-02-16,2011-02-19,2010-10-15,,1393.0,25.0,2.0,0.658,2010-02-04,2010-08-23,3.0,3.0,2010-02-05,B,Other,10.0,PUBLIC,1.0,6,8.0,360.0,K,0.395,0.0,East Coast,EXISTING,38.0,41.0,1393.0,1.0,2010-09-02,2010-09-02,167.0,167.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.105555556,0.926829268,3.0,S-M,1.0,10.0,10.0,10.0,10.0,2010-03-22,2010-05-18,2010-05-25,2010-05-31
19,20,HD,8.0,8.0,LA,0.0,4.0,A,2011-02-16,2011-02-19,2010-10-01,,1271.0,33.0,9.0,0.733,2010-03-30,2010-10-05,9.0,5.0,2010-03-30,C,Other,1.0,PUBLIC,1.0,5,7.0,345.0,E,0.311,0.0,East Coast,NEW,45.0,50.0,1271.0,2.0,2010-04-21,2010-09-17,301.0,152.0,Middle,Middle,Middle->Middle,February,Elementary,Middle,Elementary->Middle,H,1.0,0.130434783,0.9,5.0,S-M,1.0,10.0,,,,2010-04-22,2010-05-07,2010-05-12,2010-05-19
20,21,HD,8.0,8.0,MI,0.0,5.0,B,2011-02-16,2011-02-20,2010-10-15,,812.0,34.0,5.0,0.453,2010-02-11,2010-08-30,8.0,5.0,2010-02-10,B,Other,10.0,PUBLIC,1.0,6,8.0,664.0,M,0.213,0.0,East Coast,EXISTING,75.0,80.0,812.0,1.0,2010-09-14,2010-09-14,155.0,155.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.112951807,0.9375,5.0,M-L,1.0,,,,,2010-05-03,2010-05-16,2010-05-31,2010-09-22
21,22,SG,11.0,12.0,NY,1.0,7.0,A,2011-02-16,2011-02-22,2010-10-29,,2785.0,13.0,2.0,0.619,2009-11-13,2010-09-13,2.0,2.0,2009-11-07,A,Other,6.0,PUBLIC,1.0,9,12.0,1693.0,P,0.286,0.0,Science,EXISTING,21.0,23.0,2785.0,2.0,2010-09-23,2010-09-30,146.0,139.0,High,High,High->High,February,High,High,High->High,S,0.0,0.012404017,0.913043478,2.0,L,1.0,9.0,10.0,10.0,9.0,2009-12-29,2010-01-16,2010-10-27,
22,23,HVP,7.0,7.0,NC,0.0,3.0,B,2011-02-17,2011-02-19,2010-10-15,,386.0,56.0,9.0,0.359,,2010-08-23,8.0,7.0,2010-08-17,,Other,7.0,PUBLIC,1.0,,,,P1,0.173,0.0,East Coast,NEW,156.0,163.0,386.0,1.0,2010-09-22,2010-09-22,148.0,148.0,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1.0,,0.957055215,7.0,,1.0,8.0,,,,2010-09-17,2010-09-22,2010-09-23,2010-09-26
23,24,HD,8.0,8.0,OH,0.0,3.0,B,2011-02-17,2011-02-20,2010-11-01,,718.0,19.0,4.0,0.5,2010-03-03,2010-08-30,6.0,5.0,2010-03-02,A,Other,10.0,PUBLIC,1.0,6,8.0,760.0,N,0.105,0.0,East Coast,EXISTING,38.0,43.0,718.0,1.0,2010-09-02,2010-09-02,168.0,168.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.05,0.88372093,5.0,M-L,1.0,10.0,10.0,10.0,9.0,2010-05-13,2010-06-13,2010-09-22,2010-10-31
24,25,HD,7.0,7.0,MN,0.0,4.0,A,2011-02-17,2011-02-20,2010-11-01,FR,1362.0,15.0,0.0,0.75,2010-03-04,2010-08-27,1.0,2.0,2010-03-04,C,Other,10.0,PUBLIC,1.0,7,8.0,641.0,K,0.2,0.0,East Coast,EXISTING,20.0,22.0,1362.0,1.0,2010-09-16,2010-09-16,154.0,154.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.031201248,0.909090909,2.0,M-L,1.0,,,,10.0,2010-05-31,2010-09-17,2010-10-31,
25,26,HD,8.0,8.0,TX,0.0,4.0,A,2011-02-17,2011-02-20,2010-10-05,,1629.0,53.0,4.0,0.747,2010-03-01,2010-08-30,4.0,5.0,2010-02-27,,Dallas,5.0,CHD,1.0,PK,12.0,700.0,H,0.127,0.0,East Coast,EXISTING,71.0,76.0,1629.0,1.0,2010-09-10,2010-09-10,160.0,160.0,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1.0,0.101428571,0.934210526,5.0,M-L,1.0,9.0,9.0,9.0,10.0,2010-03-18,2010-03-23,2010-04-11,2010-05-24
26,27,HD,8.0,8.0,AR,0.0,4.0,A,2011-02-17,2011-02-21,2010-10-15,,1899.0,9.0,1.0,0.818,2010-01-22,2010-09-15,0.0,1.0,2010-01-22,,Other,5.0,Private non-Christian,1.0,PK,12.0,1300.0,P,0.182,0.0,East Coast,EXISTING,11.0,12.0,1899.0,1.0,2010-09-22,2010-09-22,148.0,148.0,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1.0,0.008461538,0.916666667,1.0,L,1.0,10.0,10.0,10.0,10.0,2010-04-22,2010-09-21,,
27,28,HD,8.0,8.0,MI,0.0,5.0,B,2011-02-18,2011-02-22,2010-10-29,,662.0,50.0,3.0,0.27,2010-04-05,2010-09-13,5.0,12.0,2010-02-18,A,Other,5.0,PUBLIC,1.0,6,8.0,685.0,O,0.011,0.0,East Coast,EXISTING,185.0,197.0,662.0,1.0,2010-09-27,2010-09-27,144.0,144.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.270072993,0.939086294,12.0,M-L,1.0,10.0,10.0,10.0,10.0,2010-04-28,2010-05-06,2010-05-14,2010-05-26
28,29,HD,,,MI,0.0,4.0,B,2011-02-18,2011-02-22,2010-10-29,,684.0,27.0,5.0,0.5,2010-04-20,2010-08-26,9.0,4.0,2010-03-22,A,Other,5.0,PUBLIC,1.0,6,8.0,702.0,Q,0.019,0.0,East Coast,EXISTING,54.0,58.0,684.0,2.0,2010-09-14,2010-09-23,157.0,148.0,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0.0,0.076923077,0.931034483,4.0,M-L,1.0,9.0,9.0,,,2010-05-02,2010-05-21,2010-05-31,2010-09-28
29,30,HD,,,MI,0.0,4.0,B,2011-02-18,2011-02-22,2010-10-29,,677.0,39.0,1.0,0.52,2010-04-20,2010-08-17,4.0,6.0,2010-03-22,A,Other,5.0,PUBLIC,1.0,6,8.0,698.0,Q,0.107,0.0,East Coast,EXISTING,75.0,81.0,677.0,1.0,2010-10-07,2010-10-07,134.0,134.0,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0.0,0.107449857,0.925925926,6.0,M-L,1.0,10.0,9.0,9.0,9.0,2010-05-26,2010-05-31,2010-06-07,2010-09-27
30,31,HD,8.0,8.0,MI,0.0,5.0,B,2011-02-18,2011-02-22,2010-10-01,,726.0,27.0,1.0,0.587,2010-03-15,2010-09-07,3.0,4.0,2010-03-12,A,Other,5.0,PUBLIC,1.0,6,8.0,604.0,Q,0.196,0.0,East Coast,EXISTING,46.0,50.0,726.0,2.0,2010-05-13,2010-09-21,281.0,150.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.07615894,0.92,4.0,M-L,1.0,10.0,10.0,9.0,10.0,2010-05-24,2010-06-01,2010-09-20,2010-09-30
31,32,HD,8.0,8.0,IL,0.0,3.0,A,2011-02-19,2011-02-21,2010-10-01,,1115.0,78.0,5.0,0.796,2010-04-08,2010-08-11,7.0,10.0,2010-01-27,A,Other,10.0,PUBLIC,0.0,6,8.0,597.0,Q,0.337,0.0,East Coast,EXISTING,98.0,108.0,1115.0,0.0,,,,,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.164154104,0.907407407,10.0,M-L,1.0,10.0,10.0,10.0,10.0,2010-04-20,2010-04-23,2010-04-30,2010-05-16
32,33,HD,8.0,8.0,OH,1.0,3.0,A,2011-02-19,2011-02-21,2010-10-15,,1186.0,10.0,0.0,0.833,2010-02-11,2010-08-20,0.0,1.0,2010-02-11,,Other,10.0,Catholic,0.0,K,8.0,500.0,J,0.0,0.0,East Coast,EXISTING,12.0,13.0,1186.0,0.0,,,,,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,1.0,0.024,0.923076923,1.0,S-M,1.0,10.0,,9.0,10.0,2010-06-08,2010-10-08,,
33,34,HD,7.0,8.0,IL,0.0,3.0,A,2011-02-19,2011-02-21,2010-10-23,,999.0,12.0,0.0,0.857,2010-02-15,2010-08-27,0.0,2.0,2010-02-16,B,Other,10.0,PUBLIC,1.0,7,8.0,320.0,L,0.286,0.0,East Coast,EXISTING,14.0,16.0,999.0,1.0,2010-09-14,2010-09-14,158.0,158.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,0.0,0.04375,0.875,2.0,S,1.0,10.0,,9.0,10.0,2010-05-14,2010-06-15,,
34,35,HD,8.0,8.0,IN,0.0,3.0,A,2011-02-19,2011-02-21,2010-10-20,,1174.0,28.0,5.0,0.718,2010-03-03,2010-08-10,7.0,4.0,2010-03-02,A,Other,5.0,PUBLIC,1.0,7,8.0,794.0,P,0.308,0.0,East Coast,EXISTING,39.0,43.0,1174.0,1.0,2010-08-18,2010-08-18,185.0,185.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.049118388,0.906976744,4.0,M-L,1.0,9.0,10.0,10.0,10.0,2010-05-11,2010-05-31,2010-09-21,2010-10-19
35,36,HD,8.0,8.0,IN,0.0,3.0,A,2011-02-19,2011-02-21,2010-10-20,,1174.0,72.0,13.0,0.686,2010-03-02,2010-08-10,15.0,7.0,2010-03-02,A,Other,5.0,PUBLIC,1.0,7,8.0,955.0,P,0.229,0.0,East Coast,EXISTING,105.0,112.0,1174.0,1.0,2010-08-18,2010-08-18,185.0,185.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.109947644,0.9375,7.0,L,1.0,10.0,10.0,10.0,8.0,2010-03-22,2010-06-02,2010-05-18,2010-05-26
36,37,HD,8.0,8.0,IN,0.0,3.0,A,2011-02-19,2011-02-21,2010-10-20,,1174.0,37.0,3.0,0.804,2010-03-03,2010-08-10,3.0,3.0,2010-03-02,A,Other,10.0,PUBLIC,1.0,7,8.0,966.0,P,0.283,0.0,East Coast,EXISTING,46.0,49.0,1174.0,1.0,2010-08-17,2010-08-17,186.0,186.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.047619048,0.93877551,3.0,L,1.0,10.0,10.0,10.0,10.0,2010-04-16,2010-05-23,2010-06-01,2010-09-20
37,38,SM,6.0,8.0,CA,0.0,5.0,A,2011-02-19,2011-02-23,2010-10-15,,2202.0,21.0,1.0,0.84,2010-04-05,2010-08-17,1.0,2.0,2010-04-02,,Northern California,4.0,Private non-Christian,1.0,PK,8.0,321.0,Q,0.36,0.0,Science,NEW,25.0,27.0,2202.0,1.0,2010-08-31,2010-08-31,172.0,172.0,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,S,0.0,0.07788162,0.925925926,2.0,S,1.0,10.0,,,,2010-05-17,2010-05-24,2010-06-01,
38,39,HC,8.0,8.0,CA,0.0,6.0,A,2011-02-19,2011-02-24,2010-10-15,,2631.0,97.0,30.0,0.669,2010-02-04,2010-09-01,37.0,14.0,2010-01-19,B,Southern California,5.0,PUBLIC,1.0,7,12.0,2393.0,Q,0.2,0.0,East Coast,EXISTING,145.0,159.0,2631.0,2.0,2010-05-11,2010-10-07,284.0,135.0,Middle,Middle,Middle->Middle,February,Middle,High,Middle->High,H,1.0,0.060593397,0.911949686,14.0,L,1.0,10.0,10.0,,8.0,2010-05-07,2010-06-15,2010-06-15,2010-05-19
39,40,HD,8.0,8.0,CA,0.0,5.0,A,2011-02-19,2011-02-24,2010-10-15,,2049.0,43.0,3.0,0.606,2010-02-25,2010-08-24,5.0,9.0,2010-02-24,A,Northern California,5.0,PUBLIC,1.0,6,8.0,783.0,Q,0.268,1.0,East Coast,EXISTING,71.0,80.0,2049.0,1.0,2010-09-09,2010-09-09,163.0,163.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.090676884,0.8875,9.0,M-L,1.0,9.0,8.0,,8.0,2010-03-13,2010-03-18,2010-03-25,2010-05-19
40,41,HD,8.0,8.0,CA,0.0,6.0,A,2011-02-19,2011-02-24,2010-10-15,,2469.0,14.0,2.0,0.778,2010-03-10,2010-08-31,2.0,1.0,2010-03-10,,Northern California,7.0,PUBLIC,1.0,,,,,0.0,0.0,East Coast,EXISTING,18.0,19.0,2469.0,2.0,2010-05-21,2010-10-05,274.0,137.0,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1.0,,0.947368421,1.0,,1.0,9.0,9.0,6.0,9.0,2010-09-30,2010-10-13,,
41,42,HC,8.0,8.0,CA,0.0,6.0,A,2011-02-19,2011-02-25,2010-10-15,,2366.0,36.0,4.0,0.75,2010-02-08,2010-08-23,3.0,3.0,2010-01-30,B,Northern California,5.0,PUBLIC,1.0,6,8.0,700.0,P3,0.146,0.0,East Coast,EXISTING,48.0,51.0,2366.0,2.0,2010-03-10,2010-09-02,346.0,170.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.068571429,0.941176471,3.0,M-L,1.0,10.0,10.0,10.0,10.0,2010-03-03,2010-03-13,2010-04-08,2010-09-04
42,43,HC,8.0,8.0,CA,1.0,6.0,A,2011-02-20,2011-02-25,2010-10-25,,2559.0,37.0,8.0,0.617,2010-05-07,2010-08-19,11.0,7.0,2010-05-07,A,Northern California,5.0,PUBLIC,1.0,6,8.0,700.0,Q,0.233,0.0,East Coast,EXISTING,60.0,67.0,2559.0,1.0,2010-10-01,2010-10-01,142.0,142.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1.0,0.085714286,0.895522388,7.0,M-L,0.0,,9.0,,,2010-05-25,2010-05-25,2010-05-27,2010-05-29
43,44,HC,8.0,8.0,CA,0.0,6.0,A,2011-02-20,2011-02-25,2010-09-30,,2907.0,18.0,3.0,0.667,2010-01-28,2010-09-02,5.0,3.0,2010-01-27,A,Northern California,4.0,PUBLIC,1.0,3,5.0,430.0,Q,0.222,0.0,East Coast,EXISTING,27.0,30.0,2907.0,2.0,2010-05-17,2010-09-14,279.0,159.0,Middle,Middle,Middle->Middle,February,Elementary,Elementary,Elementary->Elementary,H,1.0,0.062790698,0.9,3.0,S-M,1.0,10.0,9.0,10.0,10.0,2010-05-18,2010-05-19,2010-06-17,
44,45,HC,7.0,8.0,CA,0.0,7.0,A,2011-02-20,2011-02-26,2010-10-05,,2949.0,31.0,1.0,0.775,2010-03-04,2010-08-24,0.0,4.0,2010-03-03,,Southern California,5.0,Private non-Christian,1.0,K,8.0,562.0,P,0.175,0.0,East Coast,EXISTING,40.0,44.0,2949.0,2.0,2010-09-30,2011-01-13,143.0,38.0,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,0.0,0.071174377,0.909090909,4.0,S-M,1.0,10.0,10.0,10.0,9.0,2010-03-15,2010-04-19,2010-05-11,2010-06-24
